OrganizationID	Name	Acronym	CountryID
com.3phoenix	3Phoenix, Inc.	3Phoenix	us
tw.edu.sinica	Academia Sinica	Sinica	tw
com.aecom.ensr	AECOM/ENSR	ENSR	us
com.alionscience	Alion Science and Technology	Alion	us
com.amloceanographic	AML Oceanographic	AML	ca
com.ampactech	AMPAC, Inc.	AMPAC	us
edu.appstate	Appalachian State University	App State	us
com.applanix	Applanix Corp.	Applanix	ca
com.aphysci	Applied Physical Sciences Corp.	APSC	us
edu.asu	Arizona State University	ASU	us
org.armadaproject	ARMADA Project	ARMADA	us
com.adl	Arthur D. Little, Inc.	ADL	us
com.ashtech	Ashtech	Ashtech	us
com.atlas-elektronik	Atlas Elektronik	Atlas	de
edu.auburn	Auburn University	Auburn	us
au.edu.anu	Australia National University	ANU	au
com.axystechnologies	Axys Technologies, Inc.	Axys	us
org.bahamaswhales	Bahamas Marine Mammal Research Organisation	BMMRO	bs
edu.barnard	Barnard College	Barnard	us
com.bellaero	Bell Aerospace TEXTRON	Bell	us
edu.bbsr	Bermuda Biological Station for Research	BBSR	bm
edu.bios	Bermuda Institute of Ocean Sciences	BIOS	bm
org.bigelow	Bigelow Laboratory for Ocean Sciences	BLOS	us
edu.binghamton	Binghamton University	Binghamton	us
com.biospherical	Biospherical Instruments, Inc.	Biospherical	us
no.uib.bjerknes	Bjerknes Centre for Climate Research	BCCR	no
com.scimar	BMT Scientific Marine Services, Inc.	BMT	us
edu.boisestate	Boise State University	Boise State	us
edu.bu	Boston University	BU	us
edu.brown	Brown University	Brown	us
au.gov.bom	Bureau of Meteorology	BOM	au
ht.gouv.bme	Bureau of Mines and Energy	BME	ht
edu.caltech	California Institute of Technology	Caltech	us
edu.calstate	California State University	Cal State	us
ca.cbc	Canadian Broadcasting Corporation	CBC	ca
ca.gc.ec.ice-glaces	Canadian Ice Service	CIS	ca
ca.gc.forces.navy	Canadian Navy	Canadian Navy	ca
com.ropos	Canadian Scientific Submersible Facility	CSSF	ca
com.cnavgnss	C&C Technologies, Inc.	C&C	us
edu.unh.ccom	Center for Coastal and Ocean Mapping	CCOM	us
de.marum	Center for Marine Environmental Sciences	MARUM	de
tw.gov.moeacgs	Central Geological Survey, MOEA	MOEACGS	tw
mx.cicese	Centro de Investigación Científica y de Educación Superior de Ensenada	CICESE	mx
edu.coastal	Coastal Carolina University	CCU	us
