Logbook,CruiseYear,ConfigFile,LogbbookDir
AE1211-SE,2012,shipdata/AE-X1211/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/ae/AE1211-SE
al130801-SE,2013,shipdata/al130801/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/al/al130801-SE
AT18-06-DS,2011,shipdata/at18-06/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-06-DS
AT18-06-SE,2011,shipdata/at18-06/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-06-SE
AT18-12-DS,2011,shipdata/at18-12/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-12-DS
AT18-12-SE,2011,shipdata/at18-12/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-12-SE
AT18-13-DS,2011,shipdata/at18-13/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-13-DS
AT18-13-SE,2011,shipdata/at18-13/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-13-SE
AT18-14-SE,2011,shipdata/at18-14/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/at/AT18-14-SE
AT18-18-SE,2012,shipdata/at18-18/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/at/AT18-18-DS
AT18-18-SE,2012,shipdata/at18-18/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/at/AT18-18-SE
AT19-SE,2012,,shipdata/archive/2012/elog/logbooks/at/AT19-DS
AT19-SE,2012,,shipdata/archive/2012/elog/logbooks/at/AT19-SE
at25-SE,2013,shipdata/at25/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/at/at25-SE
at26-01-SE,2013,shipdata/at26-01/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/at/at26-01-SE
at26-02-SE,2013,shipdata/at26-02/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/at/at26-02-SE
at26-04-SE,2013,shipdata/at26-04/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/at/at26-04-SE
CH0511-DS,2011,,shipdata/archive/2011/elog/logbooks/ch/CH0511-DS
CH0511-SE,2011,,shipdata/archive/2011/elog/logbooks/ch/CH0511-SE
en484,2010,shipdata/en484/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2010/elog/logbooks/en/en484
en487,2010,shipdata/en487/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2010/elog/logbooks/en/en487
EN494-DS,2011,,shipdata/archive/2011/elog/logbooks/en/EN494-DS
EN494-SE,2011,,shipdata/archive/2011/elog/logbooks/en/EN494-SE
EN502-SE,2012,shipdata/EN502/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/en/EN502-SE
EN513-SE,2012,shipdata/EN513/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/en/EN513-SE
EN520-SE,2012,shipdata/EN520/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/en/EN520-SE
en524-SE,2013,shipdata/en524/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/en/en524-SE
en527-SE,2013,shipdata/en527/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/en/en527-SE
KN200-02-SE,2011,shipdata/kn200-02/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/kn/KN200-02-SE
KN205-SE,2012,shipdata/KN205/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN205-DS
KN205-SE,2012,shipdata/KN205/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN205-SE
KN207-01-SE,2012,shipdata/KN207-01/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN207-01-SE
KN207-02-SE,2012,shipdata/KN207-02/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN207-02-SE
KN207-03-SE,2012,shipdata/KN207-03/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN207-03-SE
KN209-01-SE,2012,shipdata/KN209-01/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/kn/KN209-01-SE
KN210-04-SE,2013,shipdata/KN210-04/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/kn/KN210-04-SE
MGL1211-SE,2012,shipdata/MGL1211/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/mg/MGL1211-SE
MGL1305-SE,2013,shipdata/MGL1305/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/mg/MGL1305-SE
MV1108-SE,2011,shipdata/mv1108/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/mv/MV1108-SE
MV1206-SE,2012,shipdata/MV1206/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/mv/MV1206-SE
NH1208-SE,2012,shipdata/NH1208/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/nh/NH1208-SE
OC1206A-SE,2012,shipdata/OC1206A/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/oc/OC1206A-SE
OC1209A-SE,2012,shipdata/OC1209A/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2012/elog/logbooks/oc/OC1209A-SE
oc1307c-SE,2013,shipdata/oc1307c/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/oc/oc1307c-SE
OC1308A-SE,2013,shipdata/OC1308A/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/oc/OC1308A-SE
oc1308B-SE,2013,shipdata/oc1308B/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/oc/oc1308B-SE
OC462,2010,shipdata/oc462/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2010/elog/logbooks/oc/OC462
OC467,2010,shipdata/oc467/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2010/elog/logbooks/oc/OC467
OC468-02,2010,shipdata/oc468/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2010/elog/logbooks/oc/OC468-02
OC471-04-DS,2011,,shipdata/archive/2011/elog/logbooks/oc/OC471-04-DS
OC471-04-SE,2011,,shipdata/archive/2011/elog/logbooks/oc/OC471-04-SE
OC473-SE,2011,shipdata/oc473/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/oc/OC473-SE
OC475-DS,2011,shipdata/oc475/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/oc/OC475-DS
OC475-SE,2011,shipdata/oc475/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/oc/OC475-SE
OC476-01-SE,2011,shipdata/oc476-01/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/oc/OC476-01-SE
PS1306-SE,2013,shipdata/PS1306/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/ps/PS1306-SE
RR1301-SE,2013,shipdata/RR1301/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/rr/RR1301-SE
SS00001-SE,2011,,shipdata/archive/2011/elog/logbooks/ss/SS00001-SE
TN268-SE,2011,shipdata/tn268/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2011/elog/logbooks/tn/TN268-SE
tn299-SE,2013,shipdata/tn299/r2r/eventlog/elog/elogd.cfg,shipdata/archive/2013/elog/logbooks/tn/tn299-SE
